hashtag,degree_centrality,betweenness_centrality,pagerank,community,frequency
bernie2020,0.045454545454545456,0.0009324009324009324,0.04659285899964148,1,4
trump2020,0.09090909090909091,0.0,0.03324976901633537,8,2
trump,0.09090909090909091,0.0,0.03324976901633537,8,4
justiceforjohnnydepp,0.015151515151515152,0.0,0.03030273289273106,7,2
justice,0.015151515151515152,0.0,0.03030273289273106,7,1
starwarsmemes,0.015151515151515152,0.0,0.03030273289273106,6,1
starwars,0.015151515151515152,0.0,0.03030273289273106,6,1
bbcgarbagenews,0.015151515151515152,0.0,0.03030273289273106,5,1
bbcamateurnight,0.015151515151515152,0.0,0.03030273289273106,5,1
teamberniejv,0.015151515151515152,0.0,0.03030273289273106,0,1
arrest,0.015151515151515152,0.0,0.03030273289273106,4,1
governor_of_new_mexico,0.015151515151515152,0.0,0.03030273289273106,3,1
governor,0.015151515151515152,0.0,0.03030273289273106,3,1
teambernienv,0.015151515151515152,0.0,0.03030273289273106,0,1
international,0.015151515151515152,0.0,0.03030273289273106,4,1
climatechange,0.045454545454545456,0.0,0.030302732892731048,9,2
awareness,0.045454545454545456,0.0,0.030302732892731048,9,3
stopclimatechange,0.045454545454545456,0.0,0.030302732892731048,9,2
globalwarming,0.045454545454545456,0.0,0.030302732892731048,9,2
biden2020,0.09090909090909091,7.77000777000777e-05,0.02912391844328933,8,1
liberal,0.09090909090909091,7.77000777000777e-05,0.029123918443289324,8,1
politics,0.09090909090909091,7.77000777000777e-05,0.029123918443289324,8,1
biden,0.09090909090909091,7.77000777000777e-05,0.029123918443289324,8,1
conservative,0.09090909090909091,7.77000777000777e-05,0.029123918443289324,8,1
feelthebern,0.030303030303030304,0.0,0.025129997292242384,1,4
notmeus,0.030303030303030304,0.0,0.025129997292242384,1,1
medicareforall,0.015151515151515152,0.0,0.02435807798679803,1,3
a_soul_for_peace,0.0,0.0,0.004545655297406522,36,2
resistfascism,0.0,0.0,0.004545655297406522,38,1
safegazachildren,0.0,0.0,0.004545655297406522,37,3
nazi_fascism,0.0,0.0,0.004545655297406522,33,1
bbc,0.0,0.0,0.004545655297406522,35,1
israeligenocide,0.0,0.0,0.004545655297406522,34,1
awarness,0.0,0.0,0.004545655297406522,40,1
nowarwithiran,0.0,0.0,0.004545655297406522,32,1
newsom,0.0,0.0,0.004545655297406522,39,1
tourettesawareness,0.0,0.0,0.004545655297406522,43,1
magazine,0.0,0.0,0.004545655297406522,41,1
war,0.0,0.0,0.004545655297406522,42,1
timewarpjump,0.0,0.0,0.004545655297406522,44,1
pocketsofpeace,0.0,0.0,0.004545655297406522,45,1
dialitforward,0.0,0.0,0.004545655297406522,46,1
newspapercraft,0.0,0.0,0.004545655297406522,47,1
foryourpride,0.0,0.0,0.004545655297406522,48,1
berniefrombrooklyn,0.0,0.0,0.004545655297406522,30,1
stillbernie,0.0,0.0,0.004545655297406522,31,1
deletethedon,0.0,0.0,0.004545655297406522,16,1
releasethetranscripts,0.0,0.0,0.004545655297406522,29,2
vote,0.0,0.0,0.004545655297406522,28,2
faketrumpemergency,0.0,0.0,0.004545655297406522,10,1
pride,0.0,0.0,0.004545655297406522,11,1
equalityact,0.0,0.0,0.004545655297406522,12,1
khive,0.0,0.0,0.004545655297406522,13,1
czarnyprotest,0.0,0.0,0.004545655297406522,14,1
resistcapitalism,0.0,0.0,0.004545655297406522,15,1
justiceforahmaud,0.0,0.0,0.004545655297406522,17,1
draintheswamp,0.0,0.0,0.004545655297406522,18,2
presidentsanders,0.0,0.0,0.004545655297406522,19,1
trumpsterrorists,0.0,0.0,0.004545655297406522,20,1
maga,0.0,0.0,0.004545655297406522,21,2
releasethememo,0.0,0.0,0.004545655297406522,22,2
sotu,0.0,0.0,0.004545655297406522,23,1
blacklivesmatter,0.0,0.0,0.004545655297406522,24,4
ibelieveinbernie,0.0,0.0,0.004545655297406522,25,1
nurses4bernie,0.0,0.0,0.004545655297406522,26,1
debatewithbernie,0.0,0.0,0.004545655297406522,27,1
flowarts,0.0,0.0,0.004545655297406522,2,1
