Community,We_Count,Them_Count,We_Them_Ratio,Mean_Toxicity,Polarization_Index,Size
Cluster 9,169,885,0.19096045197740114,0.46471942751556716,0.0887430319210518,1522
Cluster 6,160,839,0.1907032181168057,0.5231865887472364,0.09977336614965177,1205
Cluster 8,276,854,0.3231850117096019,0.3834337468240947,0.12392003995720158,1200
Cluster 7,322,475,0.6778947368421052,0.5049079781695088,0.3422744609906986,857
Cluster 0,103,402,0.2562189054726368,0.432122983366242,0.11071807782766897,820
Cluster 5,253,259,0.9768339768339769,0.42647797528346354,0.41659817662824816,783
Cluster 3,274,256,1.0703125,0.4269814300196482,0.45700356181790475,768
Cluster 4,208,277,0.7509025270758123,0.42274911935960013,0.31744338204619793,760
Cluster 1,254,247,1.0283400809716599,0.4604181975771449,0.4734664865773069,677
Cluster 2,51,279,0.1827956989247312,0.4835721884372968,0.08839491616595749,553
